method,family,period_levels,shift_levels,base,digit_count,payload_bits,latency_ticks,physical_streams,stream_ticks,max_amplitude,amplitude_levels,amplitude_resolution_bits,id_bits_per_stream_tick,adjusted_id
binary_x1,binary spike baseline,0,0,2,8,8,8,1,8,1,2,1.0,1.0,1.0
binary_x4,binary spike baseline,0,0,2,8,8,2,4,8,1,2,1.0,1.0,1.0
binary_x8,binary spike baseline,0,0,2,8,8,1,8,8,1,2,1.0,1.0,1.0
binary_x16,binary spike baseline,0,0,2,8,8,1,16,16,1,2,1.0,0.5,0.5
binary_x1,binary spike baseline,0,0,2,16,16,16,1,16,1,2,1.0,1.0,1.0
binary_x4,binary spike baseline,0,0,2,16,16,4,4,16,1,2,1.0,1.0,1.0
binary_x8,binary spike baseline,0,0,2,16,16,2,8,16,1,2,1.0,1.0,1.0
binary_x16,binary spike baseline,0,0,2,16,16,1,16,16,1,2,1.0,1.0,1.0
binary_x1,binary spike baseline,0,0,2,32,32,32,1,32,1,2,1.0,1.0,1.0
binary_x4,binary spike baseline,0,0,2,32,32,8,4,32,1,2,1.0,1.0,1.0
binary_x8,binary spike baseline,0,0,2,32,32,4,8,32,1,2,1.0,1.0,1.0
binary_x16,binary spike baseline,0,0,2,32,32,2,16,32,1,2,1.0,1.0,1.0
binary_x1,binary spike baseline,0,0,2,64,64,64,1,64,1,2,1.0,1.0,1.0
binary_x4,binary spike baseline,0,0,2,64,64,16,4,64,1,2,1.0,1.0,1.0
binary_x8,binary spike baseline,0,0,2,64,64,8,8,64,1,2,1.0,1.0,1.0
binary_x16,binary spike baseline,0,0,2,64,64,4,16,64,1,2,1.0,1.0,1.0
binary_x1,binary spike baseline,0,0,2,128,128,128,1,128,1,2,1.0,1.0,1.0
binary_x4,binary spike baseline,0,0,2,128,128,32,4,128,1,2,1.0,1.0,1.0
binary_x8,binary spike baseline,0,0,2,128,128,16,8,128,1,2,1.0,1.0,1.0
binary_x16,binary spike baseline,0,0,2,128,128,8,16,128,1,2,1.0,1.0,1.0
binary_x1,binary spike baseline,0,0,2,256,256,256,1,256,1,2,1.0,1.0,1.0
binary_x4,binary spike baseline,0,0,2,256,256,64,4,256,1,2,1.0,1.0,1.0
binary_x8,binary spike baseline,0,0,2,256,256,32,8,256,1,2,1.0,1.0,1.0
binary_x16,binary spike baseline,0,0,2,256,256,16,16,256,1,2,1.0,1.0,1.0
binary_x1,binary spike baseline,0,0,2,512,512,512,1,512,1,2,1.0,1.0,1.0
binary_x4,binary spike baseline,0,0,2,512,512,128,4,512,1,2,1.0,1.0,1.0
binary_x8,binary spike baseline,0,0,2,512,512,64,8,512,1,2,1.0,1.0,1.0
binary_x16,binary spike baseline,0,0,2,512,512,32,16,512,1,2,1.0,1.0,1.0
matrix_fractal_2x4,matrix fractal step-mode,2,4,8,2,6.0,57,1,57,2,3,1.584962500721156,0.10526315789473684,0.06641365827067973
matrix_fractal_2x4,matrix fractal step-mode,2,4,8,4,12.0,113,1,113,4,5,2.321928094887362,0.10619469026548672,0.045735563689209884
matrix_fractal_2x4,matrix fractal step-mode,2,4,8,8,24.0,225,1,225,8,9,3.169925001442312,0.10666666666666667,0.0336495868571444
matrix_fractal_2x4,matrix fractal step-mode,2,4,8,16,48.0,449,1,449,16,17,4.087462841250339,0.10690423162583519,0.026154178221992987
matrix_fractal_2x4,matrix fractal step-mode,2,4,8,32,96.0,897,1,897,32,33,5.044394119358453,0.10702341137123746,0.021216306426280727
matrix_fractal_2x4,matrix fractal step-mode,2,4,8,64,192.0,1793,1,1793,64,65,6.022367813028454,0.10708310094813163,0.017780896861940915
matrix_fractal_4x4,matrix fractal step-mode,4,4,16,2,8.0,113,1,113,2,3,1.584962500721156,0.07079646017699115,0.04466759317320053
matrix_fractal_4x4,matrix fractal step-mode,4,4,16,4,16.0,225,1,225,4,5,2.321928094887362,0.07111111111111111,0.030625888574107956
matrix_fractal_4x4,matrix fractal step-mode,4,4,16,8,32.0,449,1,449,8,9,3.169925001442312,0.07126948775055679,0.0224830201718114
matrix_fractal_4x4,matrix fractal step-mode,4,4,16,16,64.0,897,1,897,16,17,4.087462841250339,0.0713489409141583,0.01745555707421011
matrix_fractal_4x4,matrix fractal step-mode,4,4,16,32,128.0,1793,1,1793,32,33,5.044394119358453,0.07138873396542109,0.014152092853224624
matrix_fractal_4x4,matrix fractal step-mode,4,4,16,64,256.0,3585,1,3585,64,65,6.022367813028454,0.07140864714086471,0.011857237777205045
matrix_fractal_8x8,matrix fractal step-mode,8,8,64,2,12.0,241,1,241,2,3,1.584962500721156,0.04979253112033195,0.03141558938945017
matrix_fractal_8x8,matrix fractal step-mode,8,8,64,4,24.0,481,1,481,4,5,2.321928094887362,0.0498960498960499,0.02148905903068905
matrix_fractal_8x8,matrix fractal step-mode,8,8,64,8,48.0,961,1,961,8,9,3.169925001442312,0.04994797086368366,0.015756830474209137
matrix_fractal_8x8,matrix fractal step-mode,8,8,64,16,96.0,1921,1,1921,16,17,4.087462841250339,0.04997397188964081,0.012226159314601614
matrix_fractal_8x8,matrix fractal step-mode,8,8,64,32,192.0,3841,1,3841,32,33,5.044394119358453,0.04998698255662588,0.009909412582334711
matrix_fractal_8x8,matrix fractal step-mode,8,8,64,64,384.0,7681,1,7681,64,65,6.022367813028454,0.04999349043093347,0.008301301412175515
matrix_fractal_16x16,matrix fractal step-mode,16,16,256,2,16.0,993,1,993,2,3,1.584962500721156,0.016112789526686808,0.010166038325421269
matrix_fractal_16x16,matrix fractal step-mode,16,16,256,4,32.0,1985,1,1985,4,5,2.321928094887362,0.016120906801007556,0.006942896654079888
matrix_fractal_16x16,matrix fractal step-mode,16,16,256,8,64.0,3969,1,3969,8,9,3.169925001442312,0.01612496850592089,0.0050868612028940885
matrix_fractal_16x16,matrix fractal step-mode,16,16,256,16,128.0,7937,1,7937,16,17,4.087462841250339,0.016127000125992188,0.003945479323564688
matrix_fractal_16x16,matrix fractal step-mode,16,16,256,32,256.0,15873,1,15873,32,33,5.044394119358453,0.016128016128016127,0.0031972157104305106
matrix_fractal_16x16,matrix fractal step-mode,16,16,256,64,512.0,31745,1,31745,64,65,6.022367813028454,0.016128524177035752,0.0026781034765336327
